state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked
Alask,300,8435,null,null,35,null,null,null,null,110,"""4/16 15:30""","""4/16 15:42""",9,35,8735,8735,8735,"""02""","""2020-04-16T19:30:00Z""","""2020-04-16T19:42:00Z"""
Alabama,4404,32046,null,null,553,null,227,null,137,null,"""4/16 00:00""","""4/16 22:39""",137,553,36450,36450,36450,"""01""","""2020-04-16T04:00:00Z""","""2020-04-17T02:39:00Z"""
Arkansas,1620,21055,null,85,null,null,null,21,null,548,"""4/16 14:45""","""4/16 15:54""",37,null,22675,22675,22675,"""05""","""2020-04-16T18:45:00Z""","""2020-04-16T19:54:00Z"""
Arizona,4234,43164,null,578,null,278,null,188,null,460,"""4/16 00:00""","""4/16 23:55""",150,null,47398,47398,47398,"""04""","""2020-04-16T04:00:00Z""","""2020-04-17T03:55:00Z"""
california,26182,220218,7200,5031,null,1568,null,null,null,null,"""4/15 00:00""","""4/16 23:32""",890,null,253600,246400,246400,"""06""","""2020-04-15T04:00:00Z""","""2020-04-17T03:32:00Z"""
colorado,8675,33155,null,null,1693,null,null,null,null,null,"""4/16 18:00""","""4/16 22:43""",374,1693,41830,41830,41830,"""08""","""2020-04-16T22:00:00Z""","""2020-04-17T02:43:00Z"""
Connecticut,15884,37238,null,1926,null,null,null,null,null,null,"""4/16 16:30""","""4/16 23:01""",971,null,53122,53122,53122,"""09""","""2020-04-16T20:30:00Z""","""2020-04-17T03:01:00Z"""
Washington.D.C,2350,9800,null,313,null,105,null,79,null,552,"""4/15 00:00""","""4/16 23:16""",81,null,12150,12150,12150,"""11""","""2020-04-15T04:00:00Z""","""2020-04-17T03:16:00Z"""
Delaware,2075,11275,null,209,null,null,null,null,null,378,"""4/16 16:00""","""4/16 22:36""",52,null,13350,13350,13350,"""10""","""2020-04-16T20:00:00Z""","""2020-04-17T02:36:00Z"""
Florida,23340,200801,1277,null,3615,null,null,null,null,null,"""4/16 16:39""","""4/16 23:33""",681,3615,225418,224141,224141,"""12""","""2020-04-16T20:39:00Z""","""2020-04-17T03:33:00Z"""
